site;plot;year;transect;subplot;canopy_openness
Rya åsar;NO;2001;NO85;1;11,14
Rya åsar;NO;2001;NO85;2;24,16
Rya åsar;NO;2001;NO85;3;18,38
Rya åsar;NO;2001;NO85;4;20,99
Rya åsar;NO;2001;NO105;1;12,51
Rya åsar;NO;2001;NO105;2;13,56
Rya åsar;NO;2001;NO105;3;27,29
Rya åsar;NO;2001;NO105;4;17,44
Rya åsar;NO;2003;NO85;1;54,5
Rya åsar;NO;2003;NO85;2;51,5
Rya åsar;NO;2003;NO85;3;25,7
Rya åsar;NO;2003;NO85;4;32,6
Rya åsar;NO;2003;NO105;1;35,9
Rya åsar;NO;2003;NO105;2;32,2
Rya åsar;NO;2003;NO105;3;37,3
Rya åsar;NO;2003;NO105;4;33
Rya åsar;SV;2001;SV35;1;7,77
Rya åsar;SV;2001;SV35;2;13,84
Rya åsar;SV;2001;SV35;3;17,04
Rya åsar;SV;2001;SV35;4;22,02
Rya åsar;SV;2001;SV55;1;23,11
Rya åsar;SV;2001;SV55;2;22,21
Rya åsar;SV;2001;SV55;3;20,03
Rya åsar;SV;2001;SV55;4;17,82
Sandviksås;V;2001;V55;1;22,83
Sandviksås;V;2001;V55;2;24,86
Sandviksås;V;2001;V55;3;12,91
Sandviksås;V;2001;V55;4;43,28
Sandviksås;V;2001;V75;1;31,4
Sandviksås;V;2001;V75;2;46,31
Sandviksås;V;2001;V75;3;15,37
Sandviksås;V;2001;V75;4;14,04
Sandviksås;Ö;2001;Ö25;1;20,6
Sandviksås;Ö;2001;Ö25;2;13,5
Sandviksås;Ö;2001;Ö25;3;19,67
Sandviksås;Ö;2001;Ö25;4;16,43
Sandviksås;Ö;2001;Ö45;1;31,84
Sandviksås;Ö;2001;Ö45;2;18,21
Sandviksås;Ö;2001;Ö45;3;14,6
Sandviksås;Ö;2001;Ö45;4;20,15
Sandviksås;Ö;2003;Ö25;1;70,4
Sandviksås;Ö;2003;Ö25;2;40
Sandviksås;Ö;2003;Ö25;3;57,3
Sandviksås;Ö;2003;Ö25;4;69,9
Sandviksås;Ö;2003;Ö45;1;58,3
Sandviksås;Ö;2003;Ö45;2;63,3
Sandviksås;Ö;2003;Ö45;3;36
Sandviksås;Ö;2003;Ö45;4;60,2
Östadkulle;Ö;2001;Ö75;1;13,24
Östadkulle;Ö;2001;Ö75;2;13,54
Östadkulle;Ö;2001;Ö75;3;11,16
Östadkulle;Ö;2001;Ö75;4;13,5
Östadkulle;Ö;2001;Ö95;1;11,77
Östadkulle;Ö;2001;Ö95;2;18,12
Östadkulle;Ö;2001;Ö95;3;12,31
Östadkulle;Ö;2001;Ö95;4;13,62
Östadkulle;Ö;2003;Ö75;1;27,6
Östadkulle;Ö;2003;Ö75;2;36,2
Östadkulle;Ö;2003;Ö75;3;39,6
Östadkulle;Ö;2003;Ö75;4;36,6
Östadkulle;Ö;2003;Ö95;1;21,5
Östadkulle;Ö;2003;Ö95;2;21,6
Östadkulle;Ö;2003;Ö95;3;28
Östadkulle;Ö;2003;Ö95;4;36,7
Östadkulle;V;2001;V75;1;13,24
Östadkulle;V;2001;V75;2;13,54
Östadkulle;V;2001;V75;3;11,16
Östadkulle;V;2001;V75;4;13,5
Östadkulle;V;2001;V95;1;11,77
Östadkulle;V;2001;V95;2;18,12
Östadkulle;V;2001;V95;3;12,31
Östadkulle;V;2001;V95;4;13,62
