site;plot;treatment;recorded_by;date;transect;subplot;position_m;area_m2;canopy_openness;pH;species;height_cm;diameter_cm;notes;shoot;in_exclosure;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
