site;plot;treatment;transect;subplot;position_m;species;height_cm;girth_cm;diameter_cm;notes
Rya åsar;SV;control;SV35;1;13;Corylus avellana;15;;;harsyra, blåbär
Rya åsar;SV;control;SV35;2;30;0;;;;harsyra,blåbär, under gran och bok
Rya åsar;SV;control;SV35;3;44;Quercus sp.;14;;;stenigt, stig korsar
Rya åsar;SV;control;SV35;3;44;Quercus sp.;12;;;harsyra, blåbär, mycket mossa
Rya åsar;SV;control;SV35;3;44;Quercus sp.;12;;;
Rya åsar;SV;control;SV35;3;44;Quercus sp.;7;;;
Rya åsar;SV;control;SV35;3;44;Quercus sp.;7;;;
Rya åsar;SV;control;SV35;4;69;Corylus avellana;22;;;betade ekar
Rya åsar;SV;control;SV35;4;69;Corylus avellana;37;;;
Rya åsar;SV;control;SV35;4;69;Quercus sp.;9;;;
Rya åsar;SV;control;SV35;4;69;Quercus sp.;11;;;
Rya åsar;SV;control;SV35;4;69;Quercus sp.;9;;;
Rya åsar;SV;control;SV35;4;69;Quercus sp.;11;;;
Rya åsar;SV;control;SV35;4;69;Quercus sp.;5;;;
Rya åsar;SV;control;SV35;4;69;Quercus sp.;11;;;
Rya åsar;SV;control;SV55;1;15;0;;;;under gran, litter on the ground
Rya åsar;SV;control;SV55;2;22;0;;;;stor rönn och hassel i ploten, under gran
Rya åsar;SV;control;SV55;3;50;Fagus sylvatica;400;10;3,18310155;approximate height, stor björk i plot
Rya åsar;SV;control;SV55;3;50;Quercus sp.;12;;;
Rya åsar;SV;control;SV55;3;50;Corylus avellana;13;;;
Rya åsar;SV;control;SV55;3;50;Sorbus aucuparia;320;4;1,27324062;
Rya åsar;SV;control;SV55;3;50;Sorbus aucuparia;27;;;
Rya åsar;SV;control;SV55;3;50;Sorbus aucuparia;41;;;
Rya åsar;SV;control;SV55;4;76;Quercus sp.;13;;;
Rya åsar;SV;control;SV55;4;76;Quercus sp.;15;;;
Rya åsar;SV;control;SV55;4;76;Quercus sp.;13;;;
Rya åsar;SV;control;SV55;4;76;Quercus sp.;15;;;
Rya åsar;SV;control;SV55;4;76;Quercus sp.;21;;;
Rya åsar;SV;control;SV55;4;76;Quercus sp.;18;;;
Rya åsar;SV;control;SV55;4;76;Quercus sp.;13;;;
Rya åsar;SV;control;SV55;4;76;Quercus sp.;10;;;stig korsar subploten, öppet
Rya åsar;SV;control;SV55;4;76;Quercus sp.;15;;;
