site;plot;treatment;transect;subplot;tray_weight_g;wet_weight_tray_g;wet_weight_g;dry_weight_tray_22h_g;dry_weight_tray_46h_g;mass_change_22_46_g;dry_weight_tray_70h_g;mass_change_46_70_g;dry_weight_tray_96h_g;mass_change_70_96_g;dry_weight_tray_168h_g;mass_change_96_168_g;10g_measurement;pH;Comments_or_dup;dup_pH
Sandviksås;Ö;thinned;Ö25;1;4,7365;157,7405;153,004;104,4218;96,6916;7,7302;96,5932;0,0984;;;;;10,0056;4,71;;
Sandviksås;Ö;thinned;Ö25;2;3,0617;112,2466;109,1849;55,6776;51,7564;3,9212;51,6933;0,0631;;;;;10,0012;3,99;;
Sandviksås;Ö;thinned;Ö25;3;3,0036;180,666;177,6624;121,389;118,9918;2,3972;118,9304;0,0614;;;;;10,003;4,77;;
Sandviksås;Ö;thinned;Ö25;4;4,7064;168,896;164,1896;97,402;88,59;8,812;88,4346;0,1554;;;;;10,0052;4,37;;
Sandviksås;Ö;thinned;Ö45;1;3,9145;126,6655;122,751;86,2942;83,4628;2,8314;83,3786;0,0842;;;;;10,0014;4,13;;
Sandviksås;Ö;thinned;Ö45;2;4,7676;143,689;138,9214;55,035;37,7345;17,3005;37,61;0,1245;;;;;10,0073;4,75;OBS! 1:5;
Sandviksås;Ö;thinned;Ö45;3;3,0227;107,1046;104,0819;22,325;12,0374;10,2876;11,9866;0,0508;;;;;x;;knappt jord, se bild 20260114_105720 - båda prover samma;
Sandviksås;Ö;thinned;Ö45;4;4,7067;131,552;126,8453;91,2816;88,0982;3,1834;88,021;0,0772;;;;;10,0032;4,73;;
Karla;NV;control;NV45;3;4,7513;139,552;134,8007;99,782;90,6018;9,1802;90,4436;0,1582;;;;;10,0038;4,99;;
Karla;NV;control;NV25;1;4,7413;104,43;99,6887;82,7034;79,218;3,4854;79,1202;0,0978;;;;;10,0064;4,42;10,0008;4.39
Sandviksås;V;control;V55;1;4,742;174,57;169,828;120,031;114,0154;6,0156;113,933;0,0824;;;;;10,0042;4,59;;
Sandviksås;V;control;V55;2;4,7279;43,09;38,3621;25,3315;24,5312;0,8003;24,4728;0,0584;;;;;10,0084;3,61;OBS! 1:5;
Sandviksås;V;control;V55;3;2,7123;150,04;147,3277;116,766;112,6292;4,1368;112,554;0,0752;;;;;10,0049;4,33;;
Sandviksås;V;control;V55;4;4,7338;165,5755;160,8417;131,471;129,074;2,397;129,017;0,057;;;;;10,0068;4,1;;
Sandviksås;V;control;V75;1;4,7241;63,296;58,5719;24,2802;22,1735;2,1067;22,1295;0,044;;;;;10,002;3,7;OBS! 1:5;
Sandviksås;V;control;V75;2;4,729;107,102;102,373;89,0872;87,8672;1,22;87,7836;0,0836;;;;;10,0069;4,01;;
Sandviksås;V;control;V75;3;4,7235;132,033;127,3095;99,084;95,555;3,529;95,4404;0,1146;;;;;10,0097;4,4;;
Sandviksås;V;control;V75;4;4,7065;93,2;88,4935;45,1158;28,806;16,3098;28,66;0,146;;;;;10,005;3,64;;
Sandviksås;V;control;random;opening 1;4,7149;128,5495;123,8346;91,6276;91,2544;0,3732;91,205;0,0494;;;;;10,0094;4,16;10,0009;4.13
Sandviksås;V;control;random;opening 2;4,3789;149,0565;144,6776;94,1406;90,1432;3,9974;90,063;0,0802;;;;;10,0018;4,55;;
Rya åsar;NO;thinned;NO80;1;4,833;100,6234;95,7904;;77,1118;;67,6592;9,4526;66,3588;1,3004;66,2092;0,1496;10,0036;4,44;74h inte nog;
Rya åsar;NO;thinned;NO80;2;4,861;174,135;169,274;;150,688;;132,799;17,889;117,9188;14,8802;117,7216;0,1972;10,0007;4,94;74h inte nog;
