Omrkod;Yta;BSektion;Tradartkod;Datum;Diameter;Antal;Invkod;Notering
ALB;SO;100;2;7-8-2002;75;6;;
ALB;SO;100;2;7-8-2002;140;2;;
ALB;SO;100;2;7-8-2002;150;1;;
ALB;SO;100;2;7-8-2002;160;1;;
ALB;SO;100;2;7-8-2002;180;4;;
ALB;SO;100;2;7-8-2002;190;2;;
ALB;SO;100;2;7-8-2002;200;2;;
ALB;SO;100;2;7-8-2002;200;3;;
ALB;SO;100;2;7-8-2002;210;1;;
ALB;SO;100;2;7-8-2002;210;4;;
ALB;SO;100;2;7-8-2002;220;2;;
ALB;SO;100;2;7-8-2002;230;2;;
ALB;SO;100;2;7-8-2002;270;1;;
ALB;SO;100;2;7-8-2002;280;3;;
ALB;SO;250;2;7-8-2002;75;3;;
ALB;SO;250;2;7-8-2002;100;1;;
ALB;SO;250;2;7-8-2002;110;1;;
ALB;SO;250;2;7-8-2002;120;1;FG;
ALB;SO;250;2;7-8-2002;130;2;;
ALB;SO;250;2;7-8-2002;150;2;;
ALB;SO;250;2;7-8-2002;160;1;FG;
ALB;SO;250;2;7-8-2002;170;1;;
ALB;SO;250;2;7-8-2002;180;2;;
ALB;SO;250;2;7-8-2002;190;1;;
ALB;SO;250;2;7-8-2002;200;1;;
ALB;SO;250;2;7-8-2002;220;1;;
ALB;SO;250;2;7-8-2002;230;1;;
ALB;SO;250;2;7-8-2002;250;2;;
ALB;SO;250;2;7-8-2002;260;2;;
ALB;SO;250;2;7-8-2002;280;1;;
ALB;SO;250;2;7-8-2002;350;1;;
ALB;SO;250;9;7-8-2002;310;1;;
ALB;SO;250;9;7-8-2002;330;1;;
ALB;SO;350;2;7-8-2002;75;4;;
ALB;SO;350;2;7-8-2002;100;1;;
ALB;SO;350;2;7-8-2002;100;2;FG;
ALB;SO;350;2;7-8-2002;130;1;;
ALB;SO;350;2;7-8-2002;140;3;;
ALB;SO;350;2;7-8-2002;180;1;;
ALB;SO;350;2;7-8-2002;200;1;;
ALB;SO;350;2;7-8-2002;220;2;;
ALB;SO;350;2;7-8-2002;250;2;;
ALB;SO;350;2;7-8-2002;390;1;;
ALB;SO;350;9;7-8-2002;330;1;;
ALB;SO;350;9;7-8-2002;390;1;;
ALB;SO;350;16;7-8-2002;100;1;;
ALB;SO;450;2;7-8-2002;75;3;;
ALB;SO;450;2;7-8-2002;100;5;;
ALB;SO;450;2;7-8-2002;120;1;;
ALB;SO;450;2;7-8-2002;130;2;;
ALB;SO;450;2;7-8-2002;150;1;;
ALB;SO;450;2;7-8-2002;160;1;;
ALB;SO;450;2;7-8-2002;190;1;;
ALB;SO;450;2;7-8-2002;230;3;;
ALB;SO;450;2;7-8-2002;240;1;;
ALB;SO;450;2;7-8-2002;260;1;;
ALB;SO;450;2;7-8-2002;270;2;;
ALB;SO;450;2;7-8-2002;290;1;;
ALB;SO;450;2;7-8-2002;310;1;;
ALB;SO;450;2;7-8-2002;320;1;;
ALB;SO;450;2;7-8-2002;420;1;;
ALB;SO;550;2;7-8-2002;200;1;FG;
ALB;SO;550;2;9-8-2002;75;1;;
ALB;SO;550;2;9-8-2002;100;1;;
ALB;SO;550;2;9-8-2002;110;1;;
ALB;SO;550;2;9-8-2002;130;1;;
ALB;SO;550;2;9-8-2002;140;1;;
ALB;SO;550;2;9-8-2002;150;2;;
ALB;SO;550;2;9-8-2002;160;1;;
ALB;SO;550;2;9-8-2002;170;3;;
ALB;SO;550;2;9-8-2002;200;1;;
ALB;SO;550;2;9-8-2002;220;2;;
ALB;SO;550;2;9-8-2002;230;2;;
ALB;SO;550;2;9-8-2002;260;1;;
ALB;SO;550;2;9-8-2002;290;1;;
ALB;SO;550;2;9-8-2002;320;1;;
ALB;SO;550;2;9-8-2002;360;1;;
ALB;SO;550;2;9-8-2002;380;1;;
ALB;SO;550;2;9-8-2002;390;1;;
ALB;SO;550;9;9-8-2002;210;1;;
