Omrkod;Yta;BSektion;Tradartkod;Datum;Diameter;Antal;Invkod;Notering
BOK;S;551;0;1-8-2002;75;1;AC;
BOK;S;551;0;1-8-2002;130;1;AC;
BOK;S;551;0;1-8-2002;160;1;AC;
BOK;S;551;0;1-8-2002;250;1;AC;
BOK;S;551;0;1-8-2002;270;1;AC;
BOK;S;551;0;1-8-2002;350;1;AC;
BOK;S;551;0;1-8-2002;360;1;AC;
BOK;S;551;0;1-8-2002;370;1;AC;
BOK;S;551;0;1-8-2002;410;1;AC;
EMS;S;651;0;22-7-2002;75;2;KJ;
EMS;S;651;0;22-7-2002;140;1;KJ;
EMS;S;651;0;22-7-2002;280;1;KJ;
EMS;S;651;0;22-7-2002;300;1;KJ;
EMS;S;651;0;22-7-2002;400;1;KJ;
EMS;S;651;0;22-7-2002;440;1;KJ;
EMS;S;651;0;22-7-2002;500;1;KJ;
EMS;S;651;0;22-7-2002;530;1;KJ;
EMS;S;651;0;22-7-2002;1100;1;KJ;
EMS;S;651;0;24-7-2002;75;2;KJ;
EMS;S;651;0;24-7-2002;110;1;KJ;
EMS;S;651;0;24-7-2002;140;1;KJ;
EMS;S;651;0;24-7-2002;280;1;KJ;
EMS;S;651;0;24-7-2002;300;1;KJ;
EMS;S;651;0;24-7-2002;440;1;KJ;
EMS;S;651;0;24-7-2002;500;1;KJ;
EMS;S;651;0;24-7-2002;530;1;KJ;
EMS;S;751;0;22-7-2002;75;1;KJ;
EMS;S;751;0;22-7-2002;75;2;KJ;
EMS;S;751;0;22-7-2002;75;4;KJ;
EMS;S;751;0;22-7-2002;120;1;KJ;
EMS;S;751;0;22-7-2002;130;1;KJ;
EMS;S;751;0;22-7-2002;150;1;KJ;
EMS;S;751;0;22-7-2002;160;1;KJ;
EMS;S;751;0;22-7-2002;200;1;KJ;
EMS;S;751;0;22-7-2002;230;1;KJ;
EMS;S;751;0;22-7-2002;310;1;KJ;
GET;SO;52;0;23-7-2002;75;14;KJ;
GET;SO;52;0;23-7-2002;100;1;KJ;
GET;SO;52;0;23-7-2002;120;1;KJ;
HAL;N;253;0;22-7-2002;75;1;EG ER;
HAL;N;253;0;22-7-2002;75;2;EG ER;
HAL;N;253;0;22-7-2002;270;1;EG ER;
HAL;N;253;0;22-7-2002;330;1;EG ER;
HAL;N;253;0;22-7-2002;600;1;EG ER;
HAL;N;253;0;22-7-2002;680;1;EG ER;
HAL;N;253;0;22-7-2002;760;1;EG ER;
KAR;SO;251;3;3-9-2001;75;6;FG;
KAR;SO;251;3;3-9-2001;100;1;FG;
KAR;SO;251;3;3-9-2001;110;1;FG;
KAR;SO;251;3;3-9-2001;120;1;FG;
KAR;SO;251;3;3-9-2001;190;1;FG;
KAR;SO;251;9;3-9-2001;75;6;FG;
KAR;NV;252;3;3-9-2001;100;1;FG;
KAR;NV;354;3;3-9-2001;170;1;FG;
KAR;NV;454;3;1-9-2001;75;1;FG;
KAR;NV;454;3;1-9-2001;110;1;FG;
KAR;NV;454;3;1-9-2001;130;1;FG;
KAR;NV;454;3;1-9-2001;230;1;FG;
KAR;SO;251;9;3-9-2001;400;1;FG;
KAR;SO;251;25;3-9-2001;75;1;FG;
STR;SV;752;0;18-7-2002;75;1;KJ;
STR;SV;752;0;18-7-2002;110;1;KJ;
STR;SV;752;0;18-7-2002;130;1;KJ;
STR;SV;752;0;18-7-2002;160;1;KJ;
STR;SV;752;0;18-7-2002;170;2;KJ;
STR;SV;752;0;18-7-2002;200;1;KJ;
STR;SV;752;0;18-7-2002;210;1;KJ;
STR;SV;752;0;18-7-2002;300;1;KJ;
STR;SV;752;0;18-7-2002;350;1;KJ;
ASP;V;751;1;16-5-2002;75;1;FG;
ASP;V;752;1;16-5-2002;150;1;FG;
ASP;V;753;1;16-5-2002;120;1;FG;
ASP;V;753;1;16-5-2002;140;1;FG;
ASP;V;754;1;16-5-2002;100;1;FG;
ASP;Ö;551;1;18-7-2002;75;3;EG;
ASP;Ö;551;1;18-7-2002;110;1;EG;
ASP;Ö;551;1;18-7-2002;170;1;EG;
ASP;Ö;552;1;18-7-2002;75;2;EG;
ASP;Ö;552;1;18-7-2002;110;1;EG;
ASP;Ö;552;1;18-7-2002;190;1;EG;
ASP;Ö;651;1;18-7-2002;490;1;EG AC;
ASP;Ö;652;1;18-7-2002;75;1;EG AC;
ASP;Ö;652;1;18-7-2002;110;1;EG AC;
ASP;Ö;652;1;18-7-2002;130;1;EG AC;
ASP;Ö;751;1;18-7-2002;75;4;AC;
ASP;Ö;752;1;18-7-2002;75;8;AC;
ASP;Ö;752;1;18-7-2002;100;1;AC;
ASP;Ö;752;1;18-7-2002;120;1;AC;
ASP;Ö;752;1;18-7-2002;160;2;AC;
ASP;Ö;753;1;18-7-2002;100;1;AC;
ASP;Ö;753;1;18-7-2002;140;1;AC;
HAL;N;753;1;22-7-2002;75;1;EG ER;
KRÅ;N;454;1;20-6-2001;75;1;FG;
KRÅ;S;154;1;5-9-2002;75;2;AC;
KRÅ;S;154;1;5-9-2002;440;1;AC;
KRÅ;S;253;1;5-9-2002;75;1;AC;
